/Users/gaurav_raj/ai-projects/s3-karo/app/api/subscriptions/check/route.ts: line 31, col 23, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/subscriptions/check/route.ts: line 39, col 19, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/subscriptions/route.ts: line 13, col 27, Warning - 'request' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/subscriptions/route.ts: line 22, col 35, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/subscriptions/route.ts: line 60, col 19, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/upload/callback/route.ts: line 26, col 48, Warning - 'path' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/upload/callback/route.ts: line 72, col 19, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/upload/route.ts: line 58, col 21, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/upload/route.ts: line 101, col 19, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/users/me/route.ts: line 12, col 27, Warning - 'request' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/users/me/route.ts: line 34, col 19, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/users/me/route.ts: line 65, col 38, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/users/me/route.ts: line 91, col 19, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/v1/api-keys/[id]/route.ts: line 26, col 19, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/v1/api-keys/route.ts: line 9, col 27, Warning - 'request' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/v1/api-keys/route.ts: line 34, col 19, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/v1/api-keys/route.ts: line 79, col 19, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/v1/files/[id]/route.ts: line 51, col 23, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/v1/files/[id]/route.ts: line 61, col 19, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/v1/files/route.ts: line 76, col 21, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/v1/files/route.ts: line 83, col 21, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/v1/files/route.ts: line 115, col 23, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/v1/files/route.ts: line 159, col 19, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/app/api/v1/files/route.ts: line 208, col 19, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/gaurav_raj/ai-projects/s3-karo/components/common/ActionDropdown.tsx: line 34, col 40, Error - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
